id,author,community,alpha,beta
102,daniel krzywicki_pers/8,2,1.0,0.35
103,daniel lorenz 0001_pers/12,25,1.0,0.35
104,daniel nolte_pers/15,22,1.0,0.35
105,daniel rodríguez_pers/12,25,1.0,0.35
106,dario ruiz lopez_pers/17,15,1.0,0.35
107,dariusz król 0002_pers/17,15,1.0,0.35
108,dariusz tasak_pers/20,11,1.0,0.35
109,dariusz zbik_pers/15,22,1.0,0.35
110,dat t. nguyen_pers/13,28,1.0,0.35
111,david a. sanchez_pers/16,26,1.0,0.35
112,david a. van de vijver_pers/17,15,1.0,0.35
113,david a. yuen_pers/24,23,1.0,0.35
114,david coster_pers/17,15,1.0,0.35
115,david k. kahaner_pers/16,26,1.0,0.35
116,david l. george_pers/16,26,1.0,0.35
117,dawid dworak_pers/7,1,1.0,0.35
118,dawid kurzyniec_pers/24,23,1.0,0.35
119,debbi chen_pers/16,26,1.0,0.35
120,debora testi_pers/17,15,1.0,0.35
121,denis caromel_pers/17,15,1.0,0.35
122,dennis hoppe_pers/17,15,1.0,0.35
123,derek groen_pers/17,15,1.0,0.35
124,derrick kondo_pers/14,12,1.0,0.35
125,dieter kranzlmüller_pers/25,0,1.0,0.35
126,dineke frentz_pers/17,15,1.0,0.35
127,dmitry vasunin_pers/15,22,1.0,0.35
128,dmitry vasyunin_pers/15,22,1.0,0.35
129,domenico talia_pers/25,0,1.0,0.35
130,dominik dziok_pers/21,24,1.0,0.35
131,dominik stoklosa_pers/20,11,1.0,0.35
132,dorota stojda_pers/21,24,1.0,0.35
133,dániel drótos_pers/28,13,1.0,0.35
134,edward nawarecki_pers/8,2,1.0,0.35
135,elzbieta richter-was_pers/17,15,1.0,0.35
136,eric lorenz_pers/17,15,1.0,0.35
137,erik o. d. sevre_pers/24,23,1.0,0.35
138,ernesto coto_pers/17,15,1.0,0.35
139,erwin laure_pers/25,0,1.0,0.35
140,eryk ciepiela_pers/17,15,1.0,0.35
141,evan f. bollig_pers/24,23,1.0,0.35
142,ewa deelman_pers/17,15,1.0,0.35
143,ewa matczynska_pers/16,26,1.0,0.35
144,eyuphan bulut_pers/18,27,1.0,0.35
145,f. i. rusadi_pers/15,22,1.0,0.35
146,fabien dubuffet_pers/28,13,1.0,0.35
147,fabio polticelli_pers/16,26,1.0,0.35
148,fabrizio gagliardi_pers/25,0,1.0,0.35
149,farrukh salim shaikh_pers/1,21,1.0,0.35
150,filip pomanski_pers/16,26,1.0,0.35
151,filip szura_pers/7,1,1.0,0.35
152,francesco nerieri_pers/25,0,1.0,0.35
153,francisco fernandez rivera_pers/10,9,1.0,0.35
154,frank berretz_pers/15,22,1.0,0.35
155,frank dopatka_pers/2,5,1.0,0.35
156,françoise baude_pers/17,15,1.0,0.35
157,g. dick van albada_pers/17,15,1.0,0.35
158,g. s. shirshov_pers/15,22,1.0,0.35
159,ganeshwara herawan hananda putra_pers/15,22,1.0,0.35
160,gerben klaas dirk de vries_pers/15,22,1.0,0.35
161,giovanni minervini_pers/16,26,1.0,0.35
162,giuseppe evangelista_pers/16,26,1.0,0.35
163,gordon erlebacher_pers/24,23,1.0,0.35
164,grady barrett wright_pers/24,23,1.0,0.35
165,grazyna skiba_pers/8,2,1.0,0.35
166,grzegorz dobrowolski_pers/8,2,1.0,0.35
167,grzegorz dyk_pers/17,15,1.0,0.35
168,grzegorz kaplita_pers/20,11,1.0,0.35
169,grzegorz mlynarczyk_pers/20,11,1.0,0.35
170,gábor dózsa_pers/28,13,1.0,0.35
171,hailing liu_pers/24,23,1.0,0.35
172,hamideh afsarmanesh_pers/15,22,1.0,0.35
173,han rauwerda_pers/15,22,1.0,0.35
174,han zhang_pers/8,2,1.0,0.35
175,hans j. w. spoelder_pers/15,22,1.0,0.35
176,hawzhin hozhabr pour_pers/8,2,1.0,0.35
177,hawzhin hozhabrpour_pers/7,1,1.0,0.35
178,henri e. bal_pers/15,22,1.0,0.35
179,henrik eichenhardt_pers/12,25,1.0,0.35
180,henryk palka_pers/21,24,1.0,0.35
181,hiroki senshu_pers/25,0,1.0,0.35
182,hong linh truong 0001_pers/25,0,1.0,0.35
183,huai zhang_pers/24,23,1.0,0.35
184,hubert siejkowski_pers/20,11,1.0,0.35
185,hui lin xing_pers/24,23,1.0,0.35
186,igor wojnicki_pers/8,2,1.0,0.35
187,ilkay altintas_pers/17,15,1.0,0.35
188,ilya i. mokhov_pers/15,22,1.0,0.35
189,irena roterman-konieczna_pers/16,26,1.0,0.35
190,irena roterman_pers/16,26,1.0,0.35
191,j. lhomme_pers/15,22,1.0,0.35
192,j. santoso_pers/15,22,1.0,0.35
193,jacek dajda_pers/8,2,1.0,0.35
194,jacek kitowski_pers/20,11,1.0,0.35
195,jacek moscinski_pers/20,11,1.0,0.35
196,jack j. dongarra_pers/25,0,1.0,0.35
197,jacob unterman_pers/8,2,1.0,0.35
198,jakub andrzejewski_pers/21,24,1.0,0.35
199,jakub bujas_pers/7,1,1.0,0.35
200,jakub dziwisz_pers/25,0,1.0,0.35
201,jakub sendor_pers/20,11,1.0,0.35
202,jakub t. moscicki_pers/25,0,1.0,0.35
203,jakub wach_pers/17,15,1.0,0.35
204,james b. s. g. greensky_pers/25,0,1.0,0.35
205,james j. suter_pers/17,15,1.0,0.35
206,jamie shiers_pers/27,4,1.0,0.35
207,jan blasiak_pers/1,21,1.0,0.35
208,jan dzwinel_pers/23,17,1.0,0.35
209,jan meizner_pers/17,15,1.0,0.35
210,jan pieczykolan_pers/20,11,1.0,0.35
211,jan stypka_pers/8,2,1.0,0.35
212,janusz slawek_pers/13,28,1.0,0.35
213,jarek nabrzyski_pers/17,15,1.0,0.35
214,jaroslaw dabrowski_pers/14,12,1.0,0.35
215,jaroslaw iwaszkiewicz_pers/21,24,1.0,0.35
216,javier rubio-loyola_pers/15,22,1.0,0.35
217,jens volkert_pers/12,25,1.0,0.35
218,jeroen broekhuijsen_pers/17,15,1.0,0.35
219,jerzy wasniewski_pers/25,0,1.0,0.35
220,jessica schmidt_pers/24,23,1.0,0.35
221,jesús labarta_pers/21,24,1.0,0.35
222,jie tao_pers/12,25,1.0,0.35
223,joan serrat 0001_pers/15,22,1.0,0.35
224,joan serrat-fernández_pers/15,22,1.0,0.35
225,joanna kijak_pers/14,12,1.0,0.35
226,joanna kocot_pers/17,15,1.0,0.35
227,joanna patrzyk_pers/15,22,1.0,0.35
228,joanna plazek_pers/20,11,1.0,0.35
229,johann krammer_pers/21,24,1.0,0.35
230,john hughes_pers/8,2,1.0,0.35
231,jonas sala_pers/15,22,1.0,0.35
232,jonathan c. mclane_pers/25,0,1.0,0.35
233,joris borgdorff_pers/17,15,1.0,0.35
234,josu martinez_pers/14,12,1.0,0.35
235,jozef kotus_pers/20,11,1.0,0.35
236,juan arenas_pers/17,15,1.0,0.35
237,juan c. burguillo_pers/8,2,1.0,0.35
238,jörg stiller_pers/5,19,1.0,0.35
239,jörg trinitis_pers/12,25,1.0,0.35
240,k. a. karasavvas_pers/15,22,1.0,0.35
241,k. reeves_pers/12,25,1.0,0.35
242,kamil figiela_pers/17,15,1.0,0.35
243,kamil górka_pers/25,0,1.0,0.35
244,kamil iskra_pers/15,22,1.0,0.35
245,kamil mazurek_pers/18,27,1.0,0.35
246,kamil pietak_pers/8,2,1.0,0.35
247,kamil sterna_pers/7,1,1.0,0.35
248,karol grzegorczyk_pers/20,11,1.0,0.35
249,karol wawrzyniak_pers/21,24,1.0,0.35
250,katarzyna prymula_pers/16,26,1.0,0.35
251,katarzyna rycerz_pers/17,15,1.0,0.35
252,katarzyna zajac 0001_pers/17,15,1.0,0.35
253,kazimierz balos_pers/20,11,1.0,0.35
254,kazimierz wiatr_pers/20,11,1.0,0.35
255,kevin hammond_pers/8,2,1.0,0.35
256,kinga salapa_pers/16,26,1.0,0.35
257,kirk e. jordan_pers/24,23,1.0,0.35
258,klaus ullmann_pers/25,0,1.0,0.35
259,klemens noga_pers/20,11,1.0,0.35
260,konrad gadek_pers/8,2,1.0,0.35
261,konrad jopek_pers/14,12,1.0,0.35
262,kornel skalkowski_pers/20,11,1.0,0.35
263,kristof theys_pers/17,15,1.0,0.35
264,krystian pawlik_pers/21,24,1.0,0.35
265,krzysztof banas_pers/14,12,1.0,0.35
266,krzysztof benedyczak_pers/21,24,1.0,0.35
267,krzysztof borowski_pers/3,3,1.0,0.35
268,krzysztof boryczko_pers/20,11,1.0,0.35
269,krzysztof cetnarowicz_pers/8,2,1.0,0.35
270,krzysztof dzwinel_pers/23,17,1.0,0.35
271,krzysztof guzy_pers/20,11,1.0,0.35
272,krzysztof j. cios_pers/13,28,1.0,0.35
273,krzysztof korcyl_pers/20,11,1.0,0.35
274,krzysztof kurowski_pers/17,15,1.0,0.35
275,krzysztof magiera_pers/5,19,1.0,0.35
276,krzysztof nawrocki_pers/21,24,1.0,0.35
277,krzysztof sowa-pieklo_pers/12,25,1.0,0.35
278,krzysztof sowa_pers/12,25,1.0,0.35
279,krzysztof wilaszek_pers/25,0,1.0,0.35
280,krzysztof wilk_pers/17,15,1.0,0.35
281,krzysztof zielinski_pers/20,11,1.0,0.35
282,kuba rozkwitalski_pers/25,0,1.0,0.35
283,ladislav hluchý_pers/25,0,1.0,0.35
284,lechoslaw trebacz_pers/10,9,1.0,0.35
285,leonardo mariani_pers/14,12,1.0,0.35
286,leszek siwik_pers/8,2,1.0,0.35
287,liang zheng_pers/24,23,1.0,0.35
288,louis o. hertzberger_pers/15,22,1.0,0.35
289,ludovic henrio_pers/17,15,1.0,0.35
290,luis menezes_pers/6,7,1.0,0.35
291,lukas wegmeth_pers/15,22,1.0,0.35
292,lukasz dutka_pers/20,11,1.0,0.35
293,lukasz faber_pers/8,2,1.0,0.35
294,lukasz flis_pers/21,24,1.0,0.35
295,lukasz nocun_pers/15,22,1.0,0.35
296,lukasz rauch_pers/20,11,1.0,0.35
297,lukasz skital_pers/20,11,1.0,0.35
298,m. charley kameyama_pers/25,0,1.0,0.35
299,m. damon_pers/19,18,1.0,0.35
300,m. gajecki_pers/20,11,1.0,0.35
301,m. magdón_pers/14,12,1.0,0.35
302,m. mechtel_pers/12,25,1.0,0.35
303,m. renczynska-wyrobek_pers/12,25,1.0,0.35
304,maciej dudek_pers/14,12,1.0,0.35
305,maciej filocha_pers/21,24,1.0,0.35
306,maciej golenia_pers/24,23,1.0,0.35
307,maciej golik_pers/20,11,1.0,0.35
308,maciej grzegorczyk_pers/14,12,1.0,0.35
309,maciej kuzniar_pers/14,12,1.0,0.35
310,maciej malawski_pers/17,15,1.0,0.35
311,maciej nabozny_pers/21,24,1.0,0.35
312,maciej paszynski_pers/14,12,1.0,0.35
313,maciej pawlik_pers/17,15,1.0,0.35
314,maciej twardy_pers/20,11,1.0,0.35
315,maciej zientarski_pers/17,15,1.0,0.35
316,magda szopa_pers/16,26,1.0,0.35
317,magdalena strzoda_pers/8,2,1.0,0.35
318,malgorzata krakowian_pers/16,26,1.0,0.35
319,malgorzata tomanek_pers/16,26,1.0,0.35
320,malgorzata wielgus_pers/22,14,1.0,0.35
321,malgorzata zabinska_pers/8,2,1.0,0.35
322,marcelina borcz_pers/20,11,1.0,0.35
323,marcin grzegorzek_pers/15,22,1.0,0.35
324,marcin jarzab_pers/20,11,1.0,0.35
325,marcin koch_pers/21,24,1.0,0.35
326,marcin kurdziel_pers/20,11,1.0,0.35
327,marcin los_pers/14,12,1.0,0.35
328,marcin nowak_pers/17,15,1.0,0.35
329,marcin pospieszny_pers/21,24,1.0,0.35
330,marcin radecki_pers/21,24,1.0,0.35
331,marcin smetek_pers/21,24,1.0,0.35
332,marcin stolarek_pers/21,24,1.0,0.35
333,marcin szelc_pers/21,24,1.0,0.35
334,marco danelutto_pers/25,0,1.0,0.35
335,marco nichau_pers/21,24,1.0,0.35
336,marek kasztelnik_pers/17,15,1.0,0.35
337,marek kisiel-dorohinicki_pers/8,2,1.0,0.35
338,marek kochanczyk_pers/16,26,1.0,0.35
339,marek kowalski_pers/21,24,1.0,0.35
340,marek magrys_pers/21,24,1.0,0.35
341,marek piascik_pers/20,11,1.0,0.35
342,marek pogoda_pers/20,11,1.0,0.35
343,marek wieczorek_pers/25,0,1.0,0.35
344,marek zaionc_pers/8,2,1.0,0.35
345,margaret balcerzak_pers/10,9,1.0,0.35
346,maria stanislawa magdon-maksymowicz_pers/24,23,1.0,0.35
347,marian bubak_pers/17,15,1.0,0.35
348,mariusz kope_pers/7,1,1.0,0.35
349,mariusz mamonski_pers/17,15,1.0,0.35
350,mariusz sterzel_pers/20,11,1.0,0.35
351,mariusz witek_pers/21,24,1.0,0.35
352,markus bode_pers/21,24,1.0,0.35
353,markus schmid_pers/14,12,1.0,0.35
354,marlon e. pierce_pers/24,23,1.0,0.35
355,marta panuszewska_pers/14,12,1.0,0.35
356,martin bobák_pers/15,22,1.0,0.35
357,martin g. metzker_pers/15,22,1.0,0.35
358,martin koehler_pers/17,15,1.0,0.35
359,martin schulz 0001_pers/12,25,1.0,0.35
360,massimo lamanna_pers/25,0,1.0,0.35
361,matei ripeanu_pers/25,0,1.0,0.35
362,mateusz banach_pers/16,26,1.0,0.35
363,mateusz godzik_pers/8,2,1.0,0.35
364,mateusz kosibowicz_pers/16,26,1.0,0.35
365,mateusz kupisz_pers/7,1,1.0,0.35
366,mateusz paciorek_pers/8,2,1.0,0.35
367,mateusz paciorekl_pers/24,23,1.0,0.35
368,mateusz piech_pers/8,2,1.0,0.35
369,mateusz starzec_pers/8,2,1.0,0.35
370,matthew g. knepley_pers/24,23,1.0,0.35
371,matthias assel_pers/17,15,1.0,0.35
372,matthieu morel_pers/17,15,1.0,0.35
373,matti heikkurinen_pers/15,22,1.0,0.35
374,mehmet a. nacar_pers/24,23,1.0,0.35
375,mehmet s. aktas_pers/24,23,1.0,0.35
376,michael garbas_pers/21,24,1.0,0.35
377,michael gerndt_pers/12,25,1.0,0.35
378,michael m. resch_pers/25,0,1.0,0.35
379,michael oberhuber_pers/12,25,1.0,0.35
380,michael r. knox_pers/25,0,1.0,0.35
381,michal bluj_pers/21,24,1.0,0.35
382,michal dwuznik_pers/21,24,1.0,0.35
383,michal dyrda_pers/15,22,1.0,0.35
384,michal janczykowski_pers/14,12,1.0,0.35
385,michal kapalka_pers/17,15,1.0,0.35
386,michal konarski_pers/8,2,1.0,0.35
387,michal krok_pers/9,16,1.0,0.35
388,michal lopuszynski_pers/21,24,1.0,0.35
389,michal niec_pers/15,22,1.0,0.35
390,michal orzechowski_pers/17,15,1.0,0.35
391,michal pelczar_pers/17,15,1.0,0.35
392,michal piotrowski_pers/29,10,1.0,0.35
393,michal radziszewski_pers/19,18,1.0,0.35
394,michal slaski_pers/8,2,1.0,0.35
395,michal swatowski_pers/16,26,1.0,0.35
396,michal trzeciak_pers/20,11,1.0,0.35
397,michal turala_pers/21,24,1.0,0.35
398,michal wegiel_pers/20,11,1.0,0.35
399,mike r. knox_pers/25,0,1.0,0.35
400,mikolaj baranowski_pers/8,2,1.0,0.35
401,milosz zdybal_pers/21,24,1.0,0.35
402,miroslav zivkovic_pers/15,22,1.0,0.35
403,monika piwowar_pers/16,26,1.0,0.35
404,márcia a. inda_pers/15,22,1.0,0.35
405,n. b. melnikova_pers/15,22,1.0,0.35
406,nan zhang_pers/24,23,1.0,0.35
407,norbert meyer_pers/21,24,1.0,0.35
408,olav hansen_pers/15,22,1.0,0.35
409,oleg v. vasilyev_pers/19,18,1.0,0.35
410,olivier hoenen_pers/17,15,1.0,0.35
411,ondrej habala_pers/15,22,1.0,0.35
412,onn shehory_pers/14,12,1.0,0.35
413,otto rienhoff_pers/25,0,1.0,0.35
414,owen appleton_pers/15,22,1.0,0.35
415,p. mättig_pers/12,25,1.0,0.35
416,pablo lamata_pers/15,22,1.0,0.35
417,paola grosso_pers/15,22,1.0,0.35
418,patryk lason_pers/21,24,1.0,0.35
419,patryk orzechowski_pers/2,5,1.0,0.35
420,paul t. groth_pers/15,22,1.0,0.35
421,pawel chorazyk_pers/8,2,1.0,0.35
422,pawel gepner_pers/17,15,1.0,0.35
423,pawel gosztyla_pers/5,19,1.0,0.35
424,pawel hodurek_pers/15,22,1.0,0.35
425,pawel j. matuszyk_pers/18,27,1.0,0.35
426,pawel jurczyk_pers/24,23,1.0,0.35
427,pawel koperek_pers/7,1,1.0,0.35
428,pawel pawlowicz_pers/14,12,1.0,0.35
429,pawel pierzchala_pers/17,15,1.0,0.35
430,pawel pikula_pers/15,22,1.0,0.35
431,pawel plaszczak_pers/17,15,1.0,0.35
432,pawel swierszcz_pers/4,6,1.0,0.35
433,pawel topa_pers/14,12,1.0,0.35
434,pawel wolniewicz_pers/21,24,1.0,0.35
435,pawel wróblewski_pers/5,19,1.0,0.35
436,peter bloem_pers/15,22,1.0,0.35
437,peter brezany_pers/12,25,1.0,0.35
438,peter brunner_pers/25,0,1.0,0.35
439,peter buchholz 0002_pers/12,25,1.0,0.35
440,peter fritzson_pers/15,22,1.0,0.35
441,peter m. a. sloot_pers/17,15,1.0,0.35
442,peter skov_pers/15,22,1.0,0.35
443,peter v. coveney_pers/17,15,1.0,0.35
444,pieter libin_pers/17,15,1.0,0.35
445,piotr anielski_pers/8,2,1.0,0.35
446,piotr bala_pers/20,11,1.0,0.35
447,piotr blaszczyk_pers/8,2,1.0,0.35
448,piotr godowski_pers/14,12,1.0,0.35
449,piotr handzlik_pers/10,9,1.0,0.35
450,piotr iwo wójcik_pers/10,9,1.0,0.35
451,piotr kala_pers/8,2,1.0,0.35
452,piotr kustra_pers/20,11,1.0,0.35
453,piotr luszczek_pers/21,24,1.0,0.35
454,piotr machner_pers/21,24,1.0,0.35
455,piotr malecki_pers/21,24,1.0,0.35
456,piotr martyna_pers/14,12,1.0,0.35
457,piotr metel_pers/20,11,1.0,0.35
458,piotr nawrocki_pers/14,12,1.0,0.35
459,piotr nowakowski_pers/17,15,1.0,0.35
460,piotr ochlawski_pers/16,26,1.0,0.35
461,piotr pawliczek_pers/19,18,1.0,0.35
462,piotr pegiel_pers/14,12,1.0,0.35
463,piotr wawrykal_pers/20,11,1.0,0.35
464,piotr wiecek_pers/16,26,1.0,0.35
465,piotr wójcik_pers/21,24,1.0,0.35
466,przemyslaw czerwinski_pers/12,25,1.0,0.35
467,przemyslaw dabek_pers/22,14,1.0,0.35
468,przemyslaw majewski_pers/8,2,1.0,0.35
469,r. chrobak_pers/12,25,1.0,0.35
470,radoslaw gembarowski_pers/15,22,1.0,0.35
471,radoslaw maruszewski_pers/15,22,1.0,0.35
472,radoslaw rowicki_pers/21,24,1.0,0.35
473,radoslaw trzcionkowski_pers/18,27,1.0,0.35
474,rafal kluszczynski_pers/20,11,1.0,0.35
475,rafal lichwala_pers/21,24,1.0,0.35
476,rafal orlowski_pers/20,11,1.0,0.35
477,rafal tylman_pers/20,11,1.0,0.35
478,rafal wcislo_pers/14,12,1.0,0.35
479,rahul panday_pers/25,0,1.0,0.35
480,rainer koppler_pers/12,25,1.0,0.35
481,ralf ebner 0001_pers/11,20,1.0,0.35
482,ralph koning_pers/15,22,1.0,0.35
483,ralph müller-pfefferkorn_pers/12,25,1.0,0.35
484,ramin yahyapour_pers/25,0,1.0,0.35
485,ramon doallo_pers/21,24,1.0,0.35
486,raphael sangeda_pers/17,15,1.0,0.35
487,raül sirvent_pers/21,24,1.0,0.35
488,reginald cushing_pers/15,22,1.0,0.35
489,reinhard neumann_pers/12,25,1.0,0.35
490,renata slota_pers/20,11,1.0,0.35
491,renato campo_pers/6,7,1.0,0.35
492,richard knight_pers/17,15,1.0,0.35
493,robert brzoza-woch_pers/14,12,1.0,0.35
494,robert chrzan_pers/12,25,1.0,0.35
495,robert g. belleman_pers/15,22,1.0,0.35
496,robert j. meijer_pers/15,22,1.0,0.35
497,robert marcjan_pers/8,2,1.0,0.35
498,robert pajak_pers/20,11,1.0,0.35
499,robert samborski_pers/25,0,1.0,0.35
500,robert szymacha_pers/20,11,1.0,0.35
501,roberto ruiz_pers/12,25,1.0,0.35
502,roksana rózanska_pers/21,24,1.0,0.35
503,roland wismüller_pers/12,25,1.0,0.35
504,roman debski_pers/8,2,1.0,0.35
505,roman janusz_pers/22,14,1.0,0.35
506,rosa m. badia_pers/25,0,1.0,0.35
507,roy williams_pers/25,0,1.0,0.35
508,rudolf j. strijkers_pers/15,22,1.0,0.35
509,rudolph l. maxwell_pers/29,10,1.0,0.35
510,ryszard gokieli_pers/21,24,1.0,0.35
511,s. m. wang_pers/19,18,1.0,0.35
512,sascha skorupa_pers/15,22,1.0,0.35
513,schahram dustdar_pers/25,0,1.0,0.35
514,sebastian ernst_pers/8,2,1.0,0.35
515,sebastian feduniak_pers/14,12,1.0,0.35
516,sebastian lakomy_pers/8,2,1.0,0.35
517,sebastian wurm_pers/7,1,1.0,0.35
518,sergei gorlatch_pers/25,0,1.0,0.35
519,seyran saeedi_pers/6,7,1.0,0.35
520,shea miller_pers/8,2,1.0,0.35
521,shenyi song_pers/16,26,1.0,0.35
522,shuo m. wang_pers/24,23,1.0,0.35
523,shuxia zhang_pers/16,26,1.0,0.35
524,siegfried benkner_pers/17,15,1.0,0.35
525,siegfried grabner_pers/12,25,1.0,0.35
526,simon meurer_pers/3,3,1.0,0.35
527,simon portegies zwart_pers/17,15,1.0,0.35
528,slawomir goryczka_pers/14,12,1.0,0.35
529,slawomir zielinski_pers/20,11,1.0,0.35
530,spiros koulouzis_pers/15,22,1.0,0.35
531,stan matwin_pers/13,28,1.0,0.35
532,stanislaw ambroszkiewicz_pers/24,23,1.0,0.35
533,stefan j. zasada_pers/17,15,1.0,0.35
534,steven wood_pers/17,15,1.0,0.35
535,stijn imbrechts_pers/17,15,1.0,0.35
536,susheel varma_pers/17,15,1.0,0.35
537,syed naqvi_pers/15,22,1.0,0.35
538,syed wajahat abbas kazmi_pers/19,18,1.0,0.35
539,szymon engel_pers/27,4,1.0,0.35
540,szymon mentel_pers/8,2,1.0,0.35
541,szymon szominski_pers/8,2,1.0,0.35
542,t. harenberg_pers/12,25,1.0,0.35
543,t. kryza_pers/20,11,1.0,0.35
544,t. szymocha_pers/20,11,1.0,0.35
545,tadeusz j. popiela_pers/21,24,1.0,0.35
546,tadeusz szymocha_pers/21,24,1.0,0.35
547,tao jiang_pers/17,15,1.0,0.35
548,taras v. gerya_pers/24,23,1.0,0.35
549,thierry priol_pers/25,0,1.0,0.35
550,thomas bemmerl_pers/12,25,1.0,0.35
551,thomas erlebach_pers/11,20,1.0,0.35
552,thomas fahringer_pers/25,0,1.0,0.35
553,thomas ludwig 0002_pers/12,25,1.0,0.35
554,thomas rüter_pers/25,0,1.0,0.35
555,thomas schaaf_pers/15,22,1.0,0.35
556,thomas william_pers/12,25,1.0,0.35
557,thérèse ouellet_pers/10,9,1.0,0.35
558,timo m. breit_pers/15,22,1.0,0.35
559,tingxing dong_pers/21,24,1.0,0.35
560,tom lenaerts_pers/8,2,1.0,0.35
561,tomasz arodz_pers/14,12,1.0,0.35
562,tomasz bartynski_pers/17,15,1.0,0.35
563,tomasz grabarczyk_pers/20,11,1.0,0.35
564,tomasz grabiec_pers/28,13,1.0,0.35
565,tomasz gubala_pers/17,15,1.0,0.35
566,tomasz jadczyk_pers/17,15,1.0,0.35
567,tomasz kowal_pers/22,14,1.0,0.35
568,tomasz krupa_pers/8,2,1.0,0.35
569,tomasz mikolajczyk_pers/17,15,1.0,0.35
570,tomasz pachana_pers/23,17,1.0,0.35
571,tomasz piontek_pers/17,15,1.0,0.35
572,tomasz rozen_pers/11,20,1.0,0.35
573,tomasz sosnicki_pers/21,24,1.0,0.35
574,tomasz szepieniec_pers/21,24,1.0,0.35
575,tomasz szydlo_pers/14,12,1.0,0.35
576,tomasz wójcik_pers/15,22,1.0,0.35
577,tomir kryza_pers/28,13,1.0,0.35
578,uwe schwiegelshohn_pers/25,0,1.0,0.35
579,vaidy s. sunderam_pers/21,24,1.0,0.35
580,valeria v. krzhizhanovskaya_pers/15,22,1.0,0.35
581,vincent m. wheeler_pers/25,0,1.0,0.35
582,vito baggiolini_pers/15,22,1.0,0.35
583,vladimir getov_pers/25,0,1.0,0.35
584,vladimir janjic_pers/8,2,1.0,0.35
585,vladimir korkhov_pers/15,22,1.0,0.35
586,volker sander_pers/15,22,1.0,0.35
587,w. walter czech_pers/25,0,1.0,0.35
588,w. zdechlikiewicz_pers/20,11,1.0,0.35
589,wadim wojciechowski_pers/12,25,1.0,0.35
590,waldemar ciesla_pers/10,9,1.0,0.35
591,witold alda_pers/14,12,1.0,0.35
592,witold dzwinel_pers/14,12,1.0,0.35
593,wlodzimierz funika_pers/17,15,1.0,0.35
594,wojciech czech_pers/14,12,1.0,0.35
595,wojciech fracz_pers/8,2,1.0,0.35
596,wojciech kruczkowski_pers/18,27,1.0,0.35
597,wojciech mielczarek_pers/9,16,1.0,0.35
598,wojciech owczarz_pers/27,4,1.0,0.35
599,wojciech radwanski_pers/21,24,1.0,0.35
600,wojciech rzasa_pers/12,25,1.0,0.35
601,wojciech turek_pers/8,2,1.0,0.35
602,wojciech w. czech_pers/25,0,1.0,0.35
603,wojciech wislicki_pers/21,24,1.0,0.35
604,wojciech zaborowski_pers/14,12,1.0,0.35
605,wojciech ziajka_pers/21,24,1.0,0.35
606,wolfgang e. nagel_pers/12,25,1.0,0.35
607,wolfgang karl_pers/12,25,1.0,0.35
608,wolfgang walkowiak_pers/12,25,1.0,0.35
609,xi gao_pers/8,2,1.0,0.35
610,xian-he sun_pers/25,0,1.0,0.35
611,xuebin chi_pers/21,24,1.0,0.35
612,yahya bokhari_pers/2,5,1.0,0.35
613,yaolin shi_pers/24,23,1.0,0.35
614,yehuda ben-zion_pers/24,23,1.0,0.35
615,yichen zhou_pers/12,25,1.0,0.35
616,yingchun liu_pers/24,23,1.0,0.35
617,yonghong hu_pers/14,12,1.0,0.35
618,yosandra sandoval_pers/17,15,1.0,0.35
619,yujun sun_pers/16,26,1.0,0.35
620,yuriy kaniovskyi_pers/17,15,1.0,0.35
621,zbigniew kilianski_pers/21,24,1.0,0.35
622,zdzislaw wisniowski_pers/16,26,1.0,0.35
623,zhenyu lu_pers/24,23,1.0,0.35
624,zhiming zhao_pers/15,22,1.0,0.35
625,zofia mosurska_pers/20,11,1.0,0.35
0,a. leszczynski_pers/6,7,1.0,0.10
1,a. v. ozhigin_pers/18,26,1.0,0.10
2,a_key/1,2,1.0,0.10
3,aashish dhungana_pers/7,16,1.0,0.10
4,adam belloum_pers/18,26,1.0,0.10
5,adam bemben_pers/17,12,1.0,0.10
6,adam d. barwell_pers/27,27,1.0,0.10
7,adam padee_pers/23,14,1.0,0.10
8,adam s. z. belloum_pers/19,11,1.0,0.10
9,adianto wibisono_pers/18,26,1.0,0.10
10,adrian f. kacso_pers/3,31,1.0,0.10
11,adrian klusek_pers/26,20,1.0,0.10
12,adrian kosmide_pers/22,28,1.0,0.10
13,adrian ktusek_pers/27,27,1.0,0.10
14,agata kubiczek_pers/27,27,1.0,0.10
15,agnieszka wierzbowska_pers/11,6,1.0,0.10
16,aiyu zhu_pers/30,1,1.0,0.10
17,alejandro f. frangi_pers/16,18,1.0,0.10
18,aleksander byrski_pers/27,27,1.0,0.10
19,aleksander mamla_pers/14,24,1.0,0.10
20,alessia gualandris_pers/10,15,1.0,0.10
21,alexander boukhanovsky_pers/18,26,1.0,0.10
22,alexander kordes_pers/15,5,1.0,0.10
23,alexander l. pyayt_pers/18,26,1.0,0.10
24,alexander quast_pers/3,31,1.0,0.10
25,alexander reinefeld_pers/9,30,1.0,0.10
26,alexander v. boukhanovsky_pers/20,23,1.0,0.10
27,alexandru iosup_pers/9,30,1.0,0.10
28,alfons g. hoekstra_pers/10,15,1.0,0.10
29,alfred geiger_pers/9,30,1.0,0.10
30,alfredo saglimbeni_pers/16,18,1.0,0.10
